"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Certified","Size-Bracket","Code","Use","Value","CV (%)"
"122","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","30","47.0"
"123","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","20","59.7"
"124","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","39","18.2"
"125","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","64","18.8"
"126","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","27","26.5"
"127","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","119","22.7"
"128","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","156","18.6"
"129","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","37","8.6"
"130","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","97","17.2"
"131","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","128","15.9"
"132","CENSUS",2022,"YEAR","STATE","CONNECTICUT","09",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","44","19.4"
"133","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"134","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","27","5.3"
"135","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"136","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","14","46.0"
"137","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","16","40.2"
"138","CENSUS",2022,"YEAR","STATE","DELAWARE","10",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","5","37.9"
"139","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","8","76.1"
"140","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"141","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","(D)","(D)"
"142","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"143","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,414","27.7"
"144","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","131","22.2"
"145","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","1,401","33.5"
"146","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","13,413","5.9"
"147","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","8","76.1"
"148","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","180","20.1"
"149","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","9,938","(L)"
"150","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","469","59.9"
"151","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,459","25.0"
"152","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","131","22.2"
"153","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","1,478","32.4"
"154","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","13,663","5.5"
"155","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"156","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","(D)","(D)"
"157","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"158","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","45","(H)"
"159","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","76","13.4"
"160","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","249","23.3"
"161","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","54","33.2"
"162","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","82","21.1"
"163","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","38","(L)"
"164","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","22","59.0"
"165","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","43","22.5"
"166","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","19","18.7"
"167","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","22","41.1"
"168","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","280","12.6"
"169","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","54","33.2"
"170","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","82","21.1"
"171","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","38","(L)"
"172","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","22","59.0"
"173","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","43","22.5"
"174","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","19","18.7"
"175","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","22","41.1"
"176","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","280","12.6"
"177","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","2","82.2"
"178","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","4","(L)"
"179","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","3","(H)"
"180","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","3","(H)"
"181","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","5","68.4"
"182","CENSUS",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","17","31.6"
"183","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","249","13.0"
"184","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","269","12.7"
"185","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","21","31.0"
"186","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","121","16.0"
"187","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","150","18.6"
"188","CENSUS",2022,"YEAR","STATE","GEORGIA","13",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","41","31.0"
"189","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"190","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","10","2.9"
"191","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"192","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","8","29.0"
"193","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","11","27.3"
"194","CENSUS",2022,"YEAR","STATE","HAWAII","15",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","4","33.5"
"195","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","30","22.8"
"196","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","32","22.5"
"197","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","1","29.2"
"198","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","72","15.4"
"199","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","78","14.4"
"200","CENSUS",2022,"YEAR","STATE","IDAHO","16",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","10","34.2"
"201","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","175","13.7"
"202","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","208","11.7"
"203","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","33","5.4"
"204","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","154","14.1"
"205","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","184","12.7"
"206","CENSUS",2022,"YEAR","STATE","ILLINOIS","17",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","52","15.4"
"207","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","220","7.1"
"208","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","262","7.3"
"209","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","41","10.2"
"210","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","223","12.1"
"211","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","248","10.7"
"212","CENSUS",2022,"YEAR","STATE","INDIANA","18",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","47","17.7"
"213","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","144","16.8"
"214","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","169","18.2"
"215","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","25","33.8"
"216","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","126","19.5"
"217","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","145","18.8"
"218","CENSUS",2022,"YEAR","STATE","IOWA","19",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","36","24.0"
"219","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","27","24.0"
"220","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","32","21.8"
"221","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","5","39.3"
"222","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","42","26.9"
"223","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","49","22.7"
"224","CENSUS",2022,"YEAR","STATE","KANSAS","20",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","9","21.1"
"225","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","128","28.1"
"226","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","152","28.0"
"227","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","25","32.9"
"228","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","218","42.3"
"229","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","262","45.4"
"230","CENSUS",2022,"YEAR","STATE","KENTUCKY","21",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","85","42.7"
"231","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","182","34.2"
"232","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","182","34.2"
"233","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","(Z)","63.2"
"234","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","39","33.9"
"235","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","39","33.9"
"236","CENSUS",2022,"YEAR","STATE","LOUISIANA","22",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","3","63.2"
"237","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","293","35.3"
"238","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","371","31.3"
"239","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","78","18.9"
"240","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","154","11.7"
"241","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","193","12.5"
"242","CENSUS",2022,"YEAR","STATE","MAINE","23",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","94","14.2"
"243","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","135","4.8"
"244","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","150","4.1"
"245","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","15","27.3"
"246","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","129","11.4"
"247","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","142","11.3"
"248","CENSUS",2022,"YEAR","STATE","MARYLAND","24",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","26","19.6"
"249","CENSUS",2022,"YEAR","STATE","MASSACHUSETTS","25",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","258","11.3"
"250","CENSUS",2022,"YEAR","STATE","MASSACHUSETTS","25",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","303","13.5"
"251","CENSUS",2022,"YEAR","STATE","MASSACHUSETTS","25",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","45","29.6"
"252","CENSUS",2022,"YEAR","STATE","MASSACHUSETTS","25",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","233","12.6"
